term,ttm_occupancy,ttm_avg_rate,ttm_revenue
boho water,-0.08465181501122859,0.046659986583219556,-0.016483346297619647
books_and_reading_material,0.0884370578713038,0.10117039526415092,0.13232584136914405
books_and_reading_material air_conditioning,0.05624771362001952,-0.0956890329844966,-0.08430710317117208
books_and_reading_material board_games,-0.0013593081743513646,0.022620397599661682,0.024111110570126937
books_and_reading_material ceiling_fan,-0.061717850185470255,-0.04018421848702985,-0.08514432595454066
books_and_reading_material crib,0.020730140073209134,0.07714703530760546,0.09543648969762239
books_and_reading_material fireplace_guards,-0.07007694510521485,0.06481358499573363,-0.007707466464762422
books_and_reading_material outdoor_playground,-0.005226622161106422,0.002840558699978445,0.007178546100092811
books_and_reading_material pack_n_playtravel_crib,0.13036864856440197,0.15002958919124595,0.21154032482873494
books_and_reading_material portable_fans,-0.07535025907867492,-0.002014957788579486,-0.05549171653052987
books_and_reading_material theme_room,-0.06020087290483315,-0.006425360802059962,-0.038518107178425666
bowling_alley,-0.149834725769269,0.07021574816668796,-0.050500753057249194
bowling_alley mini_golf,-0.149834725769269,0.07021574816668796,-0.050500753057249194
br,-0.11678622428806525,0.22692116273278037,0.16037642156699783
br ba,-0.005944989709980271,-0.01854010458823177,-0.0013133807185374514
br bath,-0.03360521556059968,-0.0065326407582519865,-0.018628312863902118
br condo,-0.04865439751830828,0.022405802108647004,0.004752132647360438
br covered,-0.016009949000859055,0.07439477849144477,0.05208646837889594
br elizabeth,-0.049986582488306265,-0.004296010721706723,-0.027887067998405207
br free,0.0033959697532325193,0.046511296251505414,0.05380854210788513
br historic,-0.0557540125643451,0.04768689857113847,0.014208875050479504
br king,-0.13231484367933538,0.0053591200467271805,-0.06696456171947197
br near,-0.012011483458229276,0.08479384052593834,0.07847953404315608
br porch,0.019919083544625293,0.03413186561640671,0.05490116740776134
br retreat,-0.004880626370069746,0.27269493140415607,0.2350661842802294
br townhome,-0.012835216304718507,0.21104608150425905,0.18784712597776884
br townhouse,-0.09791510037777393,0.010379340324954996,-0.04899001599511193
bread_maker,-0.061305929879725336,-0.03892551507149043,-0.08094898478070943
bread_maker patio_or_balcony,-0.10294586689890818,0.01032818988445679,-0.051788256786500314
